id,n_antivm,has_dep,has_aslr,has_gs,has_tls,has_code_integrity,susp_dbg_ts,n_yara_rules
a32adfcbc76af59ccff1be8e16b167f2,0,0,0,-1,1,-1,-1,0
a344afac8b5fd61bd3d51d6b2b8a9816,0,0,0,-1,0,-1,-1,0
a3567a7194f7a795e60f03d8e1ef18f7,0,0,0,-1,0,-1,-1,0
a36728d5ee5e2eb229d133c4a146ce12,1,1,1,1,1,1,1,0
a3942c1457baa036f10b464dc241795c,1,1,1,1,1,1,1,0
a3a581e66075644b24288e2403fdad44,0,0,0,-1,0,-1,-1,0
a3aaea176a458aa9c18cdf5259316285,1,1,1,1,1,1,1,0
a3e75fb369a607f7436692bc3dd731ed,1,1,1,1,1,1,1,0
a4459a0c18b4b66113ebb2870851279d,1,0,0,-1,0,-1,-1,0
a459a35b29c263fb66aad45e396dc2c4,0,0,0,-1,0,-1,0,0
a459c2deb52139cd05050ffd765b1c63,0,0,0,-1,0,-1,-1,0
a459ffb3cb33aaba2648d3c2cc53b43b,0,0,0,-1,1,-1,-1,0
a4781815d1fb83709d21248e2562b8ff,0,0,0,-1,0,-1,-1,0
a48222c2caf02dda96a931e6d4c5b3f4,0,0,0,-1,1,-1,-1,0
a486a243e6f939c0250ec61bfa4d9809,1,1,1,1,0,1,-1,0
a4b7193d162c64ba482ebc3b8bcb3469,1,1,1,1,1,1,1,0
a4f11656398ab773e6b7f400ab3cd337,1,1,1,1,1,1,-1,4
a51789bbc39df8d8da4508bc829f84ff,0,0,0,-1,0,-1,-1,0
a52060e9f9188bff61931f6d7643629f,1,1,1,1,1,1,0,0
a54c6c14eaff9faa0df47868fba67f57,0,0,0,-1,0,-1,-1,0
a54edd154057745bf756efbcf94a441f,0,0,0,-1,0,-1,-1,0
a570d7caaa536f6264520d92b98136be,1,1,1,1,1,1,0,0
a58573565f0043ee6966ee55cf192e0e,0,0,0,-1,1,-1,-1,0
a58939280d5c7fc0917aec7107750426,1,1,1,1,1,1,1,0
a59286511ced788633b7f8f2ba39f84a,1,1,1,1,1,1,1,0
a5a8be8d56b91594fc65b1cefe625767,0,0,0,-1,0,-1,-1,0
a5a926ce52b1592e6d6a554cc6891186,1,1,1,1,1,1,1,0
a5b4bb844b610427d6bab847a81d6bbe,1,1,1,1,1,1,1,0
a5b880afa0771572d2cf15b873725fc7,0,0,0,-1,0,-1,-1,0
a5bdc6e8ce6336f4cc2138ce818e41b5,0,0,0,-1,0,-1,-1,0
a5df79c2d4af125bc84f99f226f95ea4,1,1,1,1,1,1,0,0
a61fe00e883caf93ab3c8fe75a918778,0,0,1,1,0,1,0,0
a629797aa5529f2978a1f87e95150456,0,0,0,-1,0,-1,-1,0
a6319c6837fd249953c89a1a46146819,1,1,1,1,1,1,1,0
a64973bb9bceb9b24c48b0c7df9336bd,0,0,0,-1,1,-1,-1,3
a65e035e16d1fae92a7a782e0c565972,0,0,0,-1,1,-1,-1,0
a666558f5b65f2fedb01c59748455b7a,0,0,0,-1,0,-1,-1,0
a68dec1b2cbc641b8c53c3dc2f3048fe,0,0,0,-1,0,-1,-1,0
a69e8eab7a3c7fde29f30657cef2f93a,0,0,0,-1,0,-1,-1,0
a6c124b89247351e0090c17efa9680e2,1,1,1,1,1,1,1,0
a6d48f4a34db5eb9c92d6717189f3b35,1,1,1,1,1,1,1,0
a6f1b6db77333431f218e0713391d3b1,0,0,0,-1,0,-1,-1,0
a6f4d8a7748a31ba21ef0fea32669920,1,1,1,1,1,1,-1,3
a6fa2f6803b604e04b4b79ba40814b09,1,1,1,1,1,1,1,0
a707cbad174b7924f1e79ccd0b8caea6,1,0,0,-1,0,-1,-1,0
a717b61bc25f21c7a62e64fc7ba68a95,1,1,1,1,1,1,0,0
a73b5460fb3935cc07b1c2e15b76a95c,0,0,0,1,0,1,0,0
a744d1b842b8167f2fd1354383892d50,0,1,0,-1,0,-1,-1,0
a75519a52d1c93836df5cc19f5796f4e,0,0,0,-1,0,-1,-1,0
a77a0cdcaed5187f1c7cf16e55fc844d,0,0,0,-1,1,-1,-1,0
a77bd1b3109b97bbcb9991e67fe99393,1,1,1,1,1,1,1,0
a78c502a81875787367a1a48da03b80a,1,1,1,1,1,1,0,0
a79eb740c20060edb67c3d95aa3ae47b,1,1,1,1,1,1,0,0
a7b8c99b23a4249d7639a24dc69de5fb,1,1,1,1,1,1,0,0
a7c5d9ed87733ad2895046d5ed3a9775,0,0,0,-1,0,-1,-1,0
a7cbd1d3be141b8c71c4dcef27e2aaf0,0,0,0,-1,0,-1,0,0
a7df6467fa0820ae613ee807f1defc3b,0,0,0,-1,0,-1,0,0
a7e3b7811ec5decf72f53921e53a4944,1,1,1,1,1,1,1,0
a7fc4b1fd7f2b78a3a394b4556529a01,0,0,0,-1,0,-1,-1,0
a8141f1e663c29d33b47573a653aa8ad,1,1,1,1,1,1,1,0
a81664f4acf5b760c4e1c3c603162f1c,1,1,1,1,1,1,-1,3
a818abefab48064270df03142721199f,0,0,0,-1,0,-1,-1,0
a81bdb52b37ea3ff56538b9d89e252d1,0,1,1,1,0,1,-1,0
a826f220ae665307134befc047b8d883,1,1,1,1,1,1,-1,3
a83b552feb58d49853a5b12280e012a9,1,1,1,1,1,1,1,0
a83ef4981c59cc13190b038d4232263b,0,0,0,-1,0,-1,-1,0
a8641f1f822d9e47122d722536fb9cfd,1,1,1,1,1,1,1,0
a86881a1c7fad6f793c366308ee4ab2b,0,0,0,-1,0,-1,-1,0
a8e25ad84e108e55b9c9b5964f6ded13,0,0,0,-1,0,-1,0,0
a8e30301703df9936657204dd92d657c,1,1,1,1,1,1,1,0
a91b64bcbafda55e5120378a6172117f,0,0,1,1,0,1,-1,0
a920e163c38f1ddea656f36b4e449f23,0,0,0,-1,1,-1,-1,0
a9288c31a83a36b000fe9787d78bc88c,0,0,0,-1,0,-1,-1,0
a958a1fb12d1d10f710dea5147616e10,0,0,0,-1,1,-1,-1,0
a9716a0ed9c96b3cdd99d8d48a4bf4a6,1,1,1,1,1,1,0,0
a98f4eac304cbb5dd718ab4b3ad818b1,0,0,0,-1,0,-1,-1,0
a9ba942b657237960876260dc02762b3,0,0,0,-1,0,-1,-1,0
a9d7d9fc1baf507f5fb92caf2acefa5b,1,1,1,1,1,1,1,0
a9d97a1b93b270bab6120f9168781ca1,0,0,0,-1,0,-1,-1,0
a9e27862a06a9d3fa8aa621f50ea583e,1,1,1,1,1,1,1,0
a9fd6df804390f2a30e7f5846751531f,0,0,0,-1,0,-1,-1,0
aa09df47e55b14c4574550f57af955a7,1,1,1,1,1,1,0,0
aa5545dc312ed6672a6769aba8a307a8,1,1,1,1,1,1,1,0
aa70f62e752d9a6bea1bbee69d136ca4,0,1,1,1,0,1,0,0
aa814e963b96c495529672c6adf7a8e4,0,0,0,-1,0,-1,-1,0
aa85ad0bc635865ce34526fe4a4f3e01,0,0,0,-1,0,-1,-1,0
aa878aca119d156a4275948086e0b20a,1,1,1,1,1,1,1,0
aaa4091ca51e9fcebf66b1bbdb5170b7,0,0,0,-1,1,-1,-1,0
aade5cfe6cd291470d8640a6efbdf5f1,0,0,0,-1,0,-1,-1,0
aaeea1a12387e9c8601c1a1bbdebc9c2,0,0,0,-1,0,-1,-1,0
aaffb9b843d4aedff85d8dd29309e930,1,0,0,-1,1,-1,-1,0
ab2289507a1a140949a20b4fc2f11362,0,0,0,-1,0,-1,-1,0
ab25b1b3145776259cb8242389af5b23,1,1,1,1,1,1,0,0
ab45856817809c10beec74edea28c256,1,1,1,1,1,1,0,0
ab4596ee66ebb043f9b13b91b204a2f7,0,0,0,-1,0,-1,-1,0
ab69ce37bdeadb55aeabec767bc0df9b,1,1,1,1,1,1,1,0
ab6a3086c98785a5f102a87a9136679d,0,0,0,-1,0,-1,-1,0
ab71a3f84b045ee6a4d34ec225f7e5c3,1,1,1,1,1,1,0,5
ab75b50a23cebace67511564e8f8f57f,0,0,0,-1,0,-1,-1,0
ab81bb5721e1323f620d0a117ee7ca21,0,1,1,1,1,1,-1,0
aba69214702423a0cdc98d8cb194ff8a,0,0,0,-1,0,-1,-1,0
abab1f2ad0d93274ff7c31e37e723929,0,0,0,-1,0,-1,-1,0
abbf3bdae2f5e416ea4f515e6f6e34ff,1,1,1,1,1,1,1,0
