id,n_antivm,has_dep,has_aslr,has_gs,has_tls,has_code_integrity,susp_dbg_ts,n_yara_rules
000e44d6ebfb572015549c20047e66c8,1,1,1,1,1,1,1,4
0011abb9e5777a5175a2a5696855dff0,1,1,1,1,1,1,0,4
00136827a47e4b03b69fb7bea2c36971,1,1,1,1,1,1,0,4
001e98ad444991d549d32ccda6d0f163,0,0,1,1,1,1,-1,3
002292bba7f2f9bcfdafb33869852e25,1,1,1,1,1,1,1,4
0034075d0e456f7bb340de883ee21b42,1,1,1,1,1,1,0,4
003b62a37c13e5b27c8e8a9ebbf6be25,1,1,1,1,1,1,1,4
006405e6015e49b87352a4bf2a11376a,1,1,1,1,1,1,1,4
0086748f3a7854b3a35f69b5285c534f,1,1,1,1,1,1,0,18
00907bdb1f0117436363a444c230e4b5,0,1,1,1,1,1,0,3
00e69728719213a306c42e2abc8960ab,0,0,1,1,1,1,-1,3
00e8243a017cc86024ccca4640ecd6e3,1,1,1,1,1,1,1,4
011cfd626c69be0acf28ae9d033bd36e,1,1,1,1,1,1,0,4
01225baafbd19ddc2f510f72c443f708,1,1,1,1,1,1,0,4
0158a2fa344f8638c8272a568dd6048c,1,1,1,1,1,1,0,4
015d5e4e01e9991561af5ff6842d4bcf,1,1,1,1,1,1,1,4
01790cfbb2c6d8600a77c3ab0c6f877e,1,1,1,1,1,1,1,4
01ad83f0519cbd3c9d2c1956a123aa55,1,1,1,1,1,1,1,4
0202f021ceb984d1377bb2510e6f774f,1,1,1,1,1,1,1,4
0232e987dbdc3c8e0ebd4df0bb17b422,1,1,1,1,1,1,1,4
0254f9c408dd0b1c962dd1eb272d4147,1,1,1,1,1,1,1,4
02666ec10d8f14bbb5c66d4c48870fe0,1,1,1,1,1,1,0,4
02691e838f8a4a184620df887e15c84f,1,1,1,1,1,1,-1,0
026b4c07e9d3215a01bd38d757af61a1,1,1,1,1,1,1,1,4
02943d22ed746ebcb8d70cb9784b93fb,1,1,1,1,1,1,0,4
029e23238f149061c3b3633085122ff3,1,1,1,1,1,1,0,4
02d657993823cf60089f1f14ebd157a6,1,1,1,1,1,1,1,4
02e7d1f07a863b4fb91608d93e751873,1,1,1,1,1,1,1,4
03042bd1c94f5502ab8b490c9bbf2f8e,1,1,1,1,1,1,0,4
0304ecd571a157fbcd4723d455bb554b,0,1,1,1,1,1,0,16
032f9521303b5f0290d454ace3b74092,0,0,1,1,1,1,-1,3
0388045f22404aebf5fa058ed6ec17c2,1,1,1,1,1,1,1,4
0444d64a83f14fdc43d8af7932543da5,1,1,1,1,1,1,0,4
0453ec9a72dbfaabfd4b755713a6a27a,1,0,0,-1,0,-1,-1,4
